[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent]
1,ASSETS,,Asset,,,Yes,,
11,Cash,,Asset,,,Yes,,1
11100,Current Account 1,Bank Asset,Asset,,Yes,No,B_INTRANSIT_ACCT,11
11300,Savings Accounts,Savings Accounts,Asset,,,No,,11
11400,Mobile Money Accounts,,Asset,,,No,,11
11800,Cash Box,,Asset,,,No,,11
12,Accounts Receivable,,Asset,,,Yes,,1
121,Accounts Receivable - Clients,,Asset,,,Yes,,12
12110,Accounts Receivable - Clients,Accounts Receivables,Asset,,Yes,No,C_RECEIVABLE_ACCT,121
123,Accounts Receivable - Insurance,,Asset,,,Yes,,12
12310,A/R - NHIF National Scheme,,Asset,,,No,,123
12320,A/R - NHIF FFS,,Asset,,,No,,123
12330,A/R - Insurance #3,,Asset,,,No,,123
127,Accounts Receivable - Donations,,Asset,,,Yes,,12
12710,Donor Fund,,Asset,,,No,,127
14,Inventory,,Asset,,,Yes,,1
14100,Medication and Supplies,Inventory Account,Asset,,Yes,No,P_ASSET_ACCT,14
14120,Inventory category 2,Product Inventory Account,Asset,,Yes,No,,14
17,"Furniture, Fixtures & Equipment",,Asset,,,Yes,,1
17100,Furniture,,Asset,,,No,,17
17300,Equipment - Medical,,Asset,,,No,,17
17400,Vehicles,,Asset,,,No,,17
17500,Computer and Accessories,,Asset,,,No,,17
17700,Equipment  - Office,,Asset,,,No,,17
2,LIABILITIES,,Liability,,,Yes,,
21,Accounts Payables,,Liability,,,Yes,,2
21100,Accounts Payable - Vendors,Accounts Payables,Liability,,Yes,No,V_LIABILITY_ACCT,21
24,Non-Current Liabilities,,Liability,,,Yes,,2
24100,Long Term Obligation,,Liability,,,No,,24
24200,Mortgage,,Liability,,,No,,24
25,Liability Payments,,Liability,,,Yes,,2
25100,Patient Prepayments,Prepayments for future revenue,Liability,,Yes,No,C_PREPAYMENT_ACCT,25
25200,NHIF National Scheme Payments,Payments that come from capitation,Liability,,,No,,25
3,OWNER EQUITY,,Owner's Equity,,,Yes,,
32,Earnings,,Owner's Equity,,,Yes,,3
32900,Retained Earnings,Year end processing to balance account (Income Summary),Owner's Equity,,Yes,No,,32
4,REVENUE,,Revenue,,,Yes,,
41,Patient Revenue,Default Product or Service revenue,Revenue,,,Yes,,4
41100,Patient Revenue - Services,,Revenue,,,No,,41
41110,Patient Revenue - Pharmacy,,Revenue,,,No,,41
41120,Patient Revenue - Laboratory,,Revenue,,,No,,41
41130,Patient Revenue - Radiology,,Revenue,,,No,,41
41140,Patient Revenue - Other,,Revenue,,,No,,41
41150,Patient Revenue - Unassigned,,Revenue,,,No,P_REVENUE_ACCT,41
44,Insurance Revenue,,Revenue,,,Yes,,4
44100,NHIF National Scheme Revenue,,Revenue,,,No,,44
49,Sales Discounts,,Revenue,,,Yes,,4
49100,Charity Services Waiver,Granted Trade discounts (corrects Product Revenue),Revenue,,Yes,No,P_TRADEDISCOUNTGRANT_ACCT,49
49200,Payment discount expense,Granted early payment discount to customers,Revenue,,Yes,No,PAYDISCOUNT_EXP_ACCT,49
5,Purchased Goods (to be sold),,Expense,,,Yes,,
51100,Product CoGs,Cost of Goods Sold,Expense,,Yes,No,P_COGS_ACCT,5
56,Inventory CoGs,,Expense,,,Yes,,5
56300,Inventory Adjustment,Inventory Actual Accounting Value Adjustment,Expense,,Yes,No,,56
6,EXPENSES,,Expense,,,Yes,,
60,Payroll Expenses,,Expense,,,Yes,,6
60110,Wages,,Expense,,,No,,60
60410,NSSF Paid,,Expense,,,No,,60
60430,PAYE Paid,,Expense,,,No,,60
60510,NHIF Paid,,Expense,,,No,,60
60930,Other Payroll Expenses,,Expense,,,No,,60
61,Occupancy Cost,,Expense,,,Yes,,6
61100,Rent Expense,,Expense,,,No,,61
61200,Utilities,,Expense,,,No,,61
61300,Other Occupancy Costs,,Expense,,,No,,61
61600,Other Contracted Services,"Garbage, etc.",Expense,,,No,,61
62,Advertising,,Expense,,,Yes,,6
62100,Advertising Expense,,Expense,,,No,,62
63,Telephone and Communications,,Expense,,,Yes,,6
63200,Mobile Telephone Charges,,Expense,,,No,,63
63300,Internet Charges,,Expense,,,No,,63
66,"Data Processing (Accounting, Patient Records, etc)",,Expense,,,Yes,,6
66300,Accounting and Clinical IT solutions,,Expense,,,No,,66
69,Insurance,,Expense,,,Yes,,6
69100,Business Insurance,,Expense,,,No,,69
69300,Vehicle Insurance,,Expense,,,No,,69
74,Taxes and Licenses,,Expense,,,Yes,,6
74100,KRA Corporate Tax Payment,Sales Tax paid to Vendors,Expense,,Yes,No,T_EXPENSE_ACCT,74
74200,Tax Payment Category 2,,Expense,,,No,,74
74900,License Fees,,Expense,,,No,,74
77,Repairs & Maintenance,,Expense,,,Yes,,6
77500,Vehicle Repairs & Maintenance,,Expense,,,No,,77
78,Other Operating Expenses,,Expense,,,Yes,,6
78100,Bad Debts Write-off,Receivables write-off - bad debt,Expense,,Yes,No,WRITEOFF_ACCT,78
78500,Vehicle Expense,,Expense,,,No,,78
78900,Miscellaneous Expense,,Expense,,,No,,78
